,sector,annual return log,Std
EFX,Industrials,0.09654836202606056,0.4387374651996599
EQIX,Real Estate,0.2062942929083974,0.43035195941054416
EQR,Real Estate,-0.3371840225657085,0.5411576902837644
ESS,Real Estate,-0.20301008820201288,0.545400067078782
EL,Consumer Staples,0.1519987806500838,0.4405353664628928
ETSY,Consumer Discretionary,1.2266663367490935,0.7457505641393378
EVRG,Utilities,-0.1932412184267179,0.5327968364254791
ES,Utilities,0.005416138979498675,0.483591043792999
RE,Financials,-0.16730882673947095,0.5333553035942713
EXC,Utilities,-0.09583174912035267,0.5237880369273852
EXPE,Consumer Discretionary,0.13455241297651743,0.7593428097770769
EXPD,Industrials,0.23998191612704767,0.3338819884180176
EXR,Real Estate,0.02375766768532428,0.4444351455043358
XOM,Energy,-0.4988094441673417,0.5587734608352313
FFIV,Information Technology,0.2320012242946872,0.44277698629713086
FB,Communication Services,0.25522298347964323,0.4908105099467975
FAST,Industrials,0.37493001203874726,0.41326467162030894
FRT,Real Estate,-0.3824740657743609,0.7129813048297938
FDX,Industrials,0.7198845882277135,0.5603720438565903
FIS,Information Technology,0.01148618401833252,0.4798457129965994
FITB,Financials,-0.04778718750658201,0.7951242535555029
FE,Utilities,-0.6702456372271169,0.5831312836104161
FRC,Financials,0.15610067562735586,0.5090901816297739
FISV,Information Technology,-0.055771304475532336,0.5057938597342881
FLT,Information Technology,-0.16619805589557854,0.5758681071030218
FLIR,Information Technology,-0.3492644644749086,0.6134120696346415
FLS,Industrials,-0.3732453067719968,0.6839775876655675
FMC,Materials,0.21864685908416379,0.5558497269307145
F,Consumer Discretionary,0.0030894018413989365,0.5972594511910527
FTNT,Information Technology,0.021811173562206368,0.5741662157941331
FTV,Industrials,0.11436518029727512,0.4941293829961506
FBHS,Industrials,0.2415392943850132,0.6165302077697074
FOXA,Communication Services,-0.3185658971240842,0.5221207349764797
FOX,Communication Services,-0.3113054585032789,0.5150490423172429
BEN,Financials,-0.10686369466857343,0.5832033265476555
FCX,Materials,0.7601344854765295,0.760026787078428
GPS,Consumer Discretionary,0.2467676108654695,0.9989955791242497
GRMN,Consumer Discretionary,0.19411503063626437,0.3995646222323498
IT,Information Technology,-0.05451113749731484,0.5241224301464933
GD,Industrials,-0.19098178391695178,0.4321479791790888
GE,Industrials,-0.11742120394317831,0.6728900095340727
GIS,Consumer Staples,0.14459004942606402,0.32897512885773583
GM,Consumer Discretionary,0.319544935289455,0.6555850259768383
GPC,Consumer Discretionary,0.0013130793697752237,0.5505271186650399
GILD,Health Care,-0.026498760648513066,0.3987507382737579
GL,Financials,-0.0747556651086425,0.5709363179140655
GPN,Information Technology,-0.0066047836519205535,0.5865198355943696
GS,Financials,-0.022902377615046956,0.554696076965312
GWW,Industrials,0.27188182004203165,0.45621557743345154
HAL,Energy,-0.31362680366635515,1.041207672831504
HBI,Consumer Discretionary,0.08026977243617783,0.6894287048739585
HIG,Financials,-0.2786619933175565,0.7010400317811973
HAS,Consumer Discretionary,-0.1102645208197649,0.585050304475995
HCA,Health Care,0.054097333308040396,0.6508383166606916
PEAK,Real Estate,-0.15789787081454545,0.6353385619200359
HSIC,Health Care,-0.09566201588569836,0.4718497443626606
HSY,Consumer Staples,-0.011149805013441342,0.4074082079394665
HES,Energy,-0.28671119256210714,0.8647277966235815
HPE,Information Technology,-0.28939427320373473,0.587198024167565
HLT,Consumer Discretionary,-0.04468591893543793,0.5482190940065632
HFC,Energy,-0.6643891141324686,0.8312809404481728
HOLX,Health Care,0.2683555275845216,0.5042690082217087
HD,Consumer Discretionary,0.2100460176210026,0.4783129030135543
HON,Industrials,0.18777255283144834,0.48479077961642225
HRL,Consumer Staples,0.014934355267590543,0.3179403592515107
HST,Real Estate,-0.18614735360789084,0.7191072760885819
HWM,Industrials,-0.20958329963373076,0.8232923862945989
HPQ,Information Technology,0.048268998674572135,0.5939147093702679
HUM,Health Care,0.11650282099769559,0.5386595727128667
HBAN,Financials,-0.10837331369023355,0.7005769973743458
HII,Industrials,-0.5802940471257672,0.4834229875507849
IEX,Industrials,0.11779412990515752,0.41507824109348096
IDXX,Health Care,0.5243781956344374,0.4419837154870701
INFO,Industrials,0.17517329871974335,0.4641819622366666
ITW,Industrials,0.2227830318495329,0.454497958373493
ILMN,Health Care,-0.08990008225471119,0.4909396465490117
INCY,Health Care,0.03665072970363812,0.4288681727494125
IR,Industrials,0.3499054052814928,0.5489070522305693
INTC,Information Technology,-0.2656471096113425,0.5706005377361902
ICE,Financials,0.09486448777280582,0.41100861528186533
IBM,Information Technology,-0.07313622725697169,0.44015199637930014
IP,Materials,0.22138795334100206,0.5529665958930274
IPG,Communication Services,0.0005549494886520215,0.6152857061633971
IFF,Materials,-0.1887266238537836,0.42806066980830554
INTU,Information Technology,0.24777736269100845,0.5022281617400499
ISRG,Health Care,0.21978086513817716,0.48662348368285124
IVZ,Financials,-0.0131911286006403,0.8082706365238832
IPGP,Information Technology,0.38944008785084716,0.5522333461257474
IQV,Health Care,0.06365463796578798,0.5353746176436576
IRM,Real Estate,-0.11041735220258418,0.4790111760690856
JKHY,Information Technology,0.0717825642966351,0.42506424749769517
J,Industrials,0.14448140710232554,0.4587181699751069
JBHT,Industrials,0.19656570022260095,0.43795458375104784
SJM,Consumer Staples,0.1415775708449349,0.34685273014052476
JNJ,Health Care,-0.013236176463418424,0.3208711290592907
JCI,Industrials,0.16993475861264898,0.46089059258910803
